"FORMULARIO","CODIGO_ACCIDENTE","FECHA_OCURRENCIA_ACC","HORA_OCURRENCIA_ACC","ANO_OCURRENCIA_ACC","MES_OCURRENCIA_ACC","DIA_OCURRENCIA_ACC","DIRECCION","GRAVEDAD","CLASE_ACC","LOCALIDAD","MUNICIPIO","FECHA_HORA_ACC","LATITUD","LONGITUD"
"A001180163","10519220","2020/09/01","5:14:00","2020","SEPTIEMBRE","MARTES","CL 70G-KR 17A S","CON HERIDOS","ATROPELLO","CIUDAD BOLIVAR","BOGOTA DC","2020/09/01 05:13:59+00","4.54706797","-74.13750847"
"A000815348","10447863","2018/05/16","17:00:00","2018","MAYO","MIERCOLES","CL 80-KR 116","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2018/05/16 17:00:00+00","4.7244382","-74.12353673"
"A000200444","4412327","2015/05/08","17:30:00","2015","MAYO","VIERNES","KR 27-CL 7","SOLO DANOS","CHOQUE","LOS MARTIRES","BOGOTA DC","2015/05/08 17:29:59+00","4.60572305","-74.09440877"
"A000758590","4509616","2018/02/24","13:30:00","2018","FEBRERO","SABADO","KR 86-CL 64CBI","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2018/02/24 13:30:00+00","4.68560021","-74.11288357"
"A001179701","10520767","2020/08/12","12:50:00","2020","AGOSTO","MIERCOLES","KR 45-CL 137","SOLO DANOS","CHOQUE","USAQUEN","BOGOTA DC","2020/08/12 12:49:59+00","4.72252927","-74.05135739"
"A000400289","4445348","2016/05/15","8:05:00","2016","MAYO","DOMINGO","AV AVENIDA BOYACA-CL 37A","SOLO DANOS","CHOQUE","KENNEDY","BOGOTA DC","2016/05/15 08:05:00+00","4.61415929","-74.14072305"
"A000964825","10477659","2019/03/04","17:13:00","2019","MARZO","LUNES","AV AVENIDA BOYACA-KR 24","CON HERIDOS","CHOQUE","TUNJUELITO","BOGOTA DC","2019/03/04 17:13:00+00","4.57323731","-74.13948753"
"A000817961","10451891","2018/06/21","15:15:00","2018","JUNIO","JUEVES","KR 10C-CL 27 ","SOLO DANOS","CHOQUE","RAFAEL URIBE URIBE","BOGOTA DC","2018/06/21 15:14:59+00","4.57315581","-74.09937879"
"A000275217","4428078","2015/10/31","2:40:00","2015","OCTUBRE","SABADO","CL 63-KR 13","CON HERIDOS","CHOQUE","CHAPINERO","BOGOTA DC","2015/10/31 02:39:59+00","4.64941868","-74.0635093"
"A000197671","4410043","2015/04/13","12:20:00","2015","ABRIL","LUNES","KR 97-CL 23G","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2015/04/13 12:20:00+00","4.6786168","-74.13449946"
"A001341490","10549264","2021/09/10","4:31:00","2021","SEPTIEMBRE","VIERNES","AV AVENIDA CIUDAD DE CALI-CL 11 B ","CON HERIDOS","CHOQUE","KENNEDY","BOGOTA DC","2021/09/10 04:31:00+00","4.65249016","-74.14340865"
